"Algorithm","Hash","Path"
"SHA256","F6AAF04C8C92859E8F40AC82EC798EE20AA1963E2998B66AD1BC1F714590F131","C:\LAB3\Evidence\auth_events_before_rotation.txt"
"SHA256","3FCA4889BAC9A943AD28995AE840B3F85E64B1FD9CE46AF52170D55A7175D73A","C:\LAB3\Evidence\autoruns_after.csv"
"SHA256","1B8ABE4DA869EA369C4AA59A1D324A01826714FD4B30F6EBAE03534AB1C45A06","C:\LAB3\Evidence\autoruns_before.csv"
"SHA256","42F07620379C231151B6F1555D2A3254EE2CE2D702F3168F8A73994630D1469D","C:\LAB3\Evidence\autoruns_diff.txt"
"SHA256","03280AC42854DF17291F0932B81E5745F4F36A1C3EF70C64F3DC0049517ACD59","C:\LAB3\Evidence\baseline_defender.txt"
"SHA256","63422460F398A5848552423D9D47BE7DCFA852A2F1765D5FE2F5716726FB9A40","C:\LAB3\Evidence\baseline_firewall.txt"
"SHA256","C75B2979C49610135A2B79FFA8BC7D1526A4907EDD60C7C2919D389D1F0E9F4A","C:\LAB3\Evidence\baseline_network.txt"
"SHA256","EBF68DB1D9EC25B152DB4055CB8C9EFB545F35AEBE74D974D0D28B254CA7F4C3","C:\LAB3\Evidence\baseline_os.txt"
"SHA256","2E4F6DC4346D2B84D74B80812F82B037BB7B43126923F33E930824A1764CA2F6","C:\LAB3\Evidence\baseline_processes.txt"
"SHA256","24E5D8450835390AF3D1D2515D13F7773CFCA6469FD627145D6BD6AD12CE84AC","C:\LAB3\Evidence\ddos_sources.txt"
"SHA256","19A0A9C3ED6B609DA524FF8BF71899F9C486CF97DB1546470624FEC6431AD3EB","C:\LAB3\Evidence\defender_eicar.txt"
"SHA256","5918F69F6A8339C3B5FD2064032723CAB9C9E72F2C7F14A97BB34F6383B17C45","C:\LAB3\Evidence\local_load_test.txt"
"SHA256","E7FD8D985E5F9B042B92A2DA6E06077815242EE5293D38BD074AD5476AB0D24E","C:\LAB3\Evidence\mail_sender_counts.txt"
"SHA256","2AB9646BC50CE4D3326BA3B3A2F28583D23FA2E3E7B26A54081E06D8A3A5AD96","C:\LAB3\Evidence\mail_volume.txt"
"SHA256","C2C92F205C633EAF83CBFE45950BE020C88AAEAB6A49DBCAD0E72E460A1445E2","C:\LAB3\Evidence\risk_register.csv"
"SHA256","7312E9B745F934BD83DE59C25A20F8FB78EA4222EEFA1061130A2428CFF32912","C:\LAB3\Evidence\start_time.txt"
"SHA256","FB80C6DCDC9818C3F1A79A8BB63A14AEB85124D668A30E10632D007DCDCFCC27","C:\LAB3\Evidence\sysmon_persistence.txt"
"SHA256","365EF3277CEBC3E7D18655CEAA7DB34800EB56A5BAD928E89E866CD6B1522648","C:\LAB3\Evidence\task_ran.txt"
"SHA256","4FF3D5DD66258984EF918611436672232DCE54604184A0D5D726FC6AC04AEAC8","C:\LAB3\Evidence\threat_classification.csv"
